entry_id,file_id,att_id,hours,rate,amount,description,entry_date
BL-535026,MAT-1073,AT-006,2.8,375,1050.0,Reviewed contract,02/09/2024
BL-479483,MAT-1074,AT-008,3.1,250,,Drafted motion,2022-08-15
BL-836698,MAT-1075,AT-001,0.8,375,300.0,Document review,1746606880
BL-611854,MAT-1076,AT-006,0.9,375,337.5,Document review,2023-07-04
BL-381007,MAT-1077,AT-007,3.9,250,,Client call,06-Sep-2022
BL-983044,MAT-1078,AT-006,5.4,375,"€2,025",Document review,28/09/23
BL-161503,MAT-1079,AT-002,5.3,375,1987.5,Reviewed contract,2025-02-17
BL-199533,MAT-1080,AT-007,9.8,250,2450.0,Reviewed contract,23/08/2023
BL-217536,MAT-1081,AT-008,7.8,250,,Negotiation,29/12/2023
BL-269362,MAT-1082,AT-007,8.2,300,2460.0,Negotiation,13-May-2022
BL-520732,MAT-1083,AT-002,8.9,375,,Prepared discovery,17/03/2022
BL-757766,MAT-1084,AT-005,9.9,375,,Court appearance,24/12/2023
BL-972021,MAT-1085,AT-008,8.0,250,"$2,000.00",Reviewed contract,13/02/2025
BL-609788,MAT-1086,AT-002,9.0,250,"€2,250",Court appearance,12/07/21
BL-398115,MAT-1087,AT-008,4.1,300,1230.0,Drafted motion,1719909280
BL-220583,MAT-1088,AT-010,9.4,300,"$2,820.00",Research,11-Sep-2024
BL-708664,MAT-1089,AT-006,3.9,375,,Reviewed contract,22/08/2025
BL-119361,MAT-1090,AT-007,7.3,300,"$2,190",Document review,1681374880
BL-366628,MAT-1091,AT-003,8.2,375,3075.0,Prepared discovery,1659602080
BL-759751,MAT-1092,AT-002,0.9,375,337.5,Reviewed contract,30-Sep-2022
BL-439111,MAT-1093,AT-001,6.6,250,,Document review,09-Dec-2021
BL-563421,MAT-1094,AT-001,1.9,250,475,Court appearance,2025-11-19
BL-615882,MAT-1095,AT-001,8.0,250,2000.0,Prepared discovery,11-Dec-2024
BL-438690,MAT-1096,AT-004,6.8,250,1700.0,Client call,1719563680
BL-541724,MAT-1097,AT-003,9.9,375,"""3,712.50""",Reviewed contract,2022-09-09
BL-615675,MAT-1098,AT-006,3.0,250,$750,Drafted motion,28/09/2023
BL-137929,MAT-1099,AT-006,7.8,300,"$2,340.00",Prepared discovery,25/10/22
BL-743369,MAT-1100,AT-004,2.5,375,937.5,Court appearance,2022-06-14
BL-897798,MAT-1101,AT-009,2.1,375,€788,Court appearance,1649320480
BL-214387,MAT-1102,AT-003,8.2,300,,Document review,1696235680
BL-977362,MAT-1103,AT-008,4.1,300,"$1,230",Research,2023-10-10
BL-682044,MAT-1104,AT-005,9.3,250,2325.0,Drafted motion,13/04/2022
BL-708540,MAT-1105,AT-010,2.0,300,,Reviewed contract,24/12/20
BL-639640,MAT-1106,AT-007,1.6,250,400.0,Research,24-May-2022
BL-349998,MAT-1107,AT-009,6.9,250,1725.0,Research,2022-02-01
BL-358070,MAT-1108,AT-003,9.4,375,3525.0,Court appearance,11/01/2024
BL-899595,MAT-1109,AT-002,8.7,375,3262.5,Reviewed contract,20/07/2021
BL-997842,MAT-1110,AT-004,8.2,250,"$2,050.00",Research,1730190880
BL-329967,MAT-1111,AT-001,7.5,375,2812.5,Client call,14/05/2021
BL-652907,MAT-1112,AT-005,0.7,375,262,Court appearance,1651826080
BL-721250,MAT-1113,AT-003,7.1,250,"$1,775.00",Drafted motion,2021-10-19
BL-985625,MAT-1114,AT-008,8.9,375,"3,338",Negotiation,1758443680
BL-407481,MAT-1115,AT-005,3.8,375,,Document review,2025-10-12
BL-424435,MAT-1116,AT-004,5.3,300,,Negotiation,03-Oct-2024
BL-357617,MAT-1117,AT-002,7.8,375,"""2,925.00""",Research,1632818080
BL-545236,MAT-1118,AT-010,3.5,300,1050.0,Prepared discovery,1664958880
BL-337587,MAT-1119,AT-003,7.3,250,"$1,825",Prepared discovery,2024-06-08
BL-299916,MAT-1120,AT-010,1.2,375,450,Reviewed contract,02-Feb-2024
BL-816426,MAT-1121,AT-002,9.3,300,"$2,790",Drafted motion,28/01/22
BL-122080,MAT-1122,AT-008,4.3,375,,Client call,1738053280
BL-503335,MAT-1123,AT-009,1.3,375,,Court appearance,2025-09-24
BL-711333,MAT-1124,AT-002,5.0,250,1250.0,Prepared discovery,06/02/22
BL-548538,MAT-1125,AT-004,4.7,375,,Client call,2023-04-29
BL-170655,MAT-1126,AT-004,9.7,375,3637.5,Document review,02/11/24
BL-461190,MAT-1127,AT-008,7.3,300,2190.0,Prepared discovery,2023-08-07
BL-876414,MAT-1128,AT-005,4.9,250,"$1,225",Reviewed contract,1685867680
BL-664844,MAT-1129,AT-008,8.9,250,"$2,225.00",Research,02-Mar-2024
BL-465941,MAT-1130,AT-007,8.8,300,2640.0,Client call,1753259680
BL-636719,MAT-1131,AT-009,3.6,250,$900,Court appearance,2023-08-30
BL-114464,MAT-1132,AT-009,8.7,375,3262.5,Document review,2024-08-31
BL-230626,MAT-1133,AT-005,5.7,300,1710.0,Negotiation,1674894880
BL-491666,MAT-1134,AT-007,0.6,375,€225,Reviewed contract,2020-12-05
BL-632944,MAT-1135,AT-010,0.9,375,"""337.50""",Prepared discovery,04/05/24
BL-682742,MAT-1136,AT-009,7.9,300,"$2,370",Drafted motion,1681893280
BL-135635,MAT-1137,AT-009,4.8,300,,Client call,24/06/25
BL-823042,MAT-1138,AT-002,5.4,250,,Negotiation,03/03/25
BL-645362,MAT-1139,AT-001,3.4,250,,Client call,25/11/25
BL-390648,MAT-1140,AT-010,1.6,250,400,Court appearance,24-Apr-2024
BL-708835,MAT-1141,AT-003,7.4,250,1850.0,Court appearance,22/10/22
BL-863425,MAT-1142,AT-008,6.7,375,,Prepared discovery,10/05/2022
BL-208281,MAT-1143,AT-009,1.2,300,360.0,Client call,23-Mar-2022
BL-821813,MAT-1144,AT-009,5.6,250,"$1,400",Prepared discovery,1749026080
BL-166542,MAT-1145,AT-007,1.0,250,250.0,Client call,1675499680
BL-896106,MAT-1146,AT-009,4.8,250,1200,Prepared discovery,20/01/2023
BL-115069,MAT-1147,AT-008,2.0,375,750.0,Document review,2022-12-11
BL-454946,MAT-1148,AT-001,2.9,250,725.0,Court appearance,23/03/23
BL-656883,MAT-1149,AT-009,6.9,300,,Client call,18-Jul-2022
BL-765009,MAT-1150,AT-010,2.6,250,$650,Prepared discovery,22/06/2021
BL-201088,MAT-1151,AT-005,4.5,300,1350.0,Client call,1659602080
BL-718723,MAT-1152,AT-009,7.4,250,1850.0,Prepared discovery,05-Sep-2025
BL-953771,MAT-1153,AT-009,4.4,375,,Drafted motion,04/01/24
BL-342429,MAT-1154,AT-001,8.3,300,2490.0,Negotiation,27/10/2022
BL-393012,MAT-1155,AT-007,5.2,250,1300.0,Document review,21/12/2021
BL-100917,MAT-1156,AT-005,3.3,250,825.0,Prepared discovery,1758011680
BL-234385,MAT-1157,AT-005,5.7,300,1710.0,Research,1693384480
BL-670989,MAT-1158,AT-009,4.5,250,"$1,125",Negotiation,1725438880
BL-527009,MAT-1159,AT-001,7.2,250,,Research,30/04/22
BL-527440,MAT-1160,AT-009,5.9,375,"""2,212.50""",Reviewed contract,12-Jul-2023
BL-178069,MAT-1161,AT-007,6.1,300,1830,Client call,09/12/20
BL-808267,MAT-1162,AT-004,5.0,300,,Court appearance,16-Jul-2021
BL-470719,MAT-1163,AT-004,3.8,300,,Negotiation,29-Nov-2021
BL-690199,MAT-1164,AT-003,7.0,300,"$2,100",Research,2023-02-01
BL-661746,MAT-1165,AT-009,9.2,250,,Negotiation,13/04/2024
BL-274269,MAT-1166,AT-004,7.7,300,"$2,310",Reviewed contract,03-May-2024
BL-440152,MAT-1167,AT-001,2.2,300,660.0,Negotiation,2022-04-30
BL-602675,MAT-1168,AT-009,2.1,300,,Drafted motion,2023-09-08
BL-345521,MAT-1169,AT-008,7.3,250,1825.0,Prepared discovery,13/08/22
BL-974549,MAT-1170,AT-009,9.9,375,"$3,712",Reviewed contract,19-Mar-2024
BL-194400,MAT-1171,AT-003,4.7,375,"€1,762",Reviewed contract,17-Jan-2023
BL-434518,MAT-1172,AT-002,0.6,300,180,Drafted motion,2022-06-22
BL-620122,MAT-1173,AT-009,2.5,250,,Drafted motion,07-Aug-2024
BL-133846,MAT-1174,AT-003,6.9,300,2070.0,Document review,2024-11-25
BL-523136,MAT-1175,AT-006,4.8,300,,Research,1680597280
BL-322495,MAT-1176,AT-003,5.8,250,1450.0,Negotiation,01-Mar-2022
BL-513447,MAT-1177,AT-001,8.8,300,,Research,27-Mar-2023
BL-221422,MAT-1178,AT-001,5.9,250,1475,Reviewed contract,2021-09-25
BL-527840,MAT-1179,AT-002,6.8,250,1700,Drafted motion,2023-06-13
BL-943585,MAT-1180,AT-003,3.3,375,"1,238",Research,22/10/2023
BL-195842,MAT-1181,AT-009,1.3,250,€325,Client call,30/08/2021
BL-573484,MAT-1182,AT-006,4.9,300,"$1,470.00",Document review,18/09/2023
BL-299793,MAT-1183,AT-005,7.9,250,1975.0,Court appearance,19/10/25
BL-650387,MAT-1184,AT-009,2.0,375,,Document review,1657010080
BL-716966,MAT-1185,AT-007,4.1,250,1025,Drafted motion,14/01/2023
BL-682981,MAT-1186,AT-001,3.2,300,960.0,Reviewed contract,01-Nov-2024
BL-652015,MAT-1187,AT-008,3.0,250,€750,Prepared discovery,2021-06-03
BL-691140,MAT-1188,AT-004,8.7,375,3262.5,Reviewed contract,23/01/2021
BL-318405,MAT-1189,AT-001,6.2,375,2325.0,Document review,08/04/24
BL-188884,MAT-1190,AT-004,3.1,375,,Research,25/01/2024
BL-725545,MAT-1191,AT-001,9.2,300,2760,Prepared discovery,31/12/2023
BL-608678,MAT-1192,AT-003,9.4,250,"$2,350",Court appearance,29-Apr-2022
BL-568446,MAT-1193,AT-009,9.8,300,"€2,940",Drafted motion,2022-04-16
BL-925755,MAT-1194,AT-001,3.2,250,800,Court appearance,1678696480
BL-610248,MAT-1195,AT-010,3.9,375,,Client call,01/10/21
BL-384488,MAT-1196,AT-010,4.1,250,"1,025",Negotiation,1750581280
BL-428841,MAT-1197,AT-006,7.9,375,2962.5,Drafted motion,20/05/2021
BL-420590,MAT-1198,AT-006,3.0,250,,Prepared discovery,25-Nov-2022
BL-412621,MAT-1199,AT-004,5.8,375,"2,175",Prepared discovery,1697877280
BL-699181,MAT-1200,AT-005,9.6,250,2400,Court appearance,01/10/2023
BL-646209,MAT-1201,AT-007,8.5,375,,Court appearance,1658046880
BL-643390,MAT-1202,AT-007,2.7,250,,Document review,26/03/25
BL-439268,MAT-1203,AT-010,0.9,375,,Document review,01-Jul-2022
BL-928326,MAT-1204,AT-005,3.0,300,$900.00,Prepared discovery,08/05/23
BL-479900,MAT-1205,AT-005,3.1,375,"1,162",Prepared discovery,2023-03-24
BL-163871,MAT-1206,AT-010,3.7,300,1110,Prepared discovery,2022-11-02
BL-578542,MAT-1207,AT-006,9.8,375,"$3,675.00",Client call,1656491680
BL-936603,MAT-1208,AT-001,2.8,375,1050.0,Prepared discovery,14-Oct-2022
BL-534010,MAT-1209,AT-009,9.5,375,,Drafted motion,16-Feb-2022
BL-660925,MAT-1210,AT-008,5.1,250,1275.0,Negotiation,29/11/23
BL-703685,MAT-1211,AT-010,2.5,375,937,Prepared discovery,10/02/2024
BL-601369,MAT-1212,AT-005,7.8,300,2340,Client call,2025-05-27
BL-643973,MAT-1213,AT-007,2.2,300,660,Negotiation,2021-10-19
BL-523367,MAT-1214,AT-004,8.1,375,3037.5,Court appearance,02/10/24
BL-110853,MAT-1215,AT-004,1.9,300,,Prepared discovery,21/03/2024
BL-541847,MAT-1216,AT-005,0.8,300,"""240.00""",Court appearance,11/09/2023
BL-610143,MAT-1217,AT-008,0.8,300,"""240.00""",Client call,16/09/23
BL-956818,MAT-1218,AT-005,9.7,375,3637.5,Research,2024-04-22
BL-784464,MAT-1219,AT-008,4.1,250,,Reviewed contract,01/03/21
BL-656832,MAT-1220,AT-010,2.9,300,870.0,Prepared discovery,07/12/2022
BL-270812,MAT-1221,AT-001,3.9,300,,Research,09-Oct-2025
BL-518787,MAT-1222,AT-009,4.6,300,,Reviewed contract,14/09/25
BL-329091,MAT-1223,AT-004,1.4,300,420.0,Prepared discovery,26-May-2021
BL-228797,MAT-1224,AT-006,6.6,300,"$1,980",Document review,1641630880
BL-642396,MAT-1225,AT-007,9.8,250,,Prepared discovery,24/03/2023
BL-878842,MAT-1226,AT-004,8.1,250,"""2,025.00""",Client call,09/04/2021
BL-425806,MAT-1227,AT-003,0.7,375,"""262.50""",Document review,1719218080
BL-496577,MAT-1228,AT-002,4.4,375,,Prepared discovery,17-Dec-2020
BL-155626,MAT-1229,AT-007,3.2,250,800,Client call,2025-06-25
BL-767225,MAT-1230,AT-008,8.9,375,3337,Prepared discovery,04/05/22
BL-322246,MAT-1231,AT-005,6.5,300,"""1,950.00""",Research,1640594080
BL-884092,MAT-1232,AT-002,1.7,375,638,Reviewed contract,1725611680
BL-577061,MAT-1233,AT-003,4.6,300,,Reviewed contract,29/06/2025
BL-281283,MAT-1234,AT-009,9.0,250,"$2,250",Document review,09/02/22
BL-456149,MAT-1235,AT-005,8.3,300,,Court appearance,1742459680
BL-945260,MAT-1236,AT-001,5.2,375,,Drafted motion,26-Mar-2021
BL-846172,MAT-1237,AT-008,8.1,250,2025.0,Client call,1633854880
BL-805335,MAT-1238,AT-005,6.4,375,,Research,25/10/2025
BL-245286,MAT-1239,AT-005,1.0,300,"""300.00""",Research,10-Aug-2021
BL-181872,MAT-1240,AT-003,1.1,375,,Reviewed contract,1647506080
BL-213927,MAT-1241,AT-002,6.4,375,"2,400",Research,05/08/21
BL-770225,MAT-1242,AT-008,2.0,250,$500.00,Reviewed contract,13/08/2024
BL-386126,MAT-1243,AT-007,3.4,375,,Document review,2024-05-25
BL-821373,MAT-1244,AT-006,2.9,250,,Reviewed contract,23/08/22
BL-212686,MAT-1245,AT-010,3.9,250,975.0,Negotiation,2022-10-11
BL-993357,MAT-1246,AT-006,7.0,375,2625.0,Reviewed contract,26-Feb-2021
BL-764816,MAT-1247,AT-004,9.5,375,3562.5,Prepared discovery,2020-12-25
BL-446895,MAT-1248,AT-006,7.8,300,2340.0,Research,08/11/2021
BL-416180,MAT-1249,AT-010,5.2,300,,Research,22/10/21
BL-974828,MAT-1250,AT-004,6.1,375,2287.5,Document review,02/10/2024
BL-815169,MAT-1251,AT-006,1.3,375,,Research,1629794080
BL-656536,MAT-1252,AT-003,8.0,375,"3,000",Reviewed contract,1644482080
BL-288859,MAT-1253,AT-009,2.8,300,840.0,Client call,07/11/2025
BL-731777,MAT-1254,AT-009,4.6,300,,Document review,2023-08-27
BL-973021,MAT-1255,AT-008,7.7,300,"€2,310",Court appearance,1736757280
BL-771434,MAT-1256,AT-008,0.5,250,,Prepared discovery,30/05/2023
BL-568977,MAT-1257,AT-006,5.4,300,,Reviewed contract,2021-06-18
BL-796811,MAT-1258,AT-003,0.8,300,"""240.00""",Prepared discovery,30/08/2025
BL-149278,MAT-1259,AT-008,9.8,250,2450,Reviewed contract,16/05/2022
BL-363607,MAT-1260,AT-008,10.0,250,"$2,500",Prepared discovery,08-Sep-2025
BL-964754,MAT-1261,AT-005,0.6,300,,Client call,1652171680
BL-184626,MAT-1262,AT-009,6.7,375,2512.5,Reviewed contract,2025-03-29
BL-894076,MAT-1263,AT-004,7.7,300,,Prepared discovery,2022-06-30
BL-870676,MAT-1264,AT-007,6.4,375,2400.0,Document review,1742459680
BL-535273,MAT-1265,AT-007,3.1,250,,Reviewed contract,07/03/23
BL-463402,MAT-1266,AT-003,4.7,300,,Research,2025-02-28
BL-670119,MAT-1267,AT-004,1.5,375,562.5,Client call,2025-11-08
BL-872287,MAT-1268,AT-007,1.3,375,$487.50,Client call,01/12/24
BL-696367,MAT-1269,AT-001,1.1,300,€330,Document review,1752309280
BL-845896,MAT-1270,AT-005,2.5,250,625.0,Court appearance,13/10/2025
BL-998972,MAT-1271,AT-004,1.4,300,$420,Prepared discovery,1727080480
BL-977423,MAT-1272,AT-005,9.9,300,2970.0,Drafted motion,1757838880
BL-164284,MAT-1273,AT-007,4.8,375,,Client call,01/03/2023
BL-748605,MAT-1274,AT-003,1.2,250,$300.00,Drafted motion,12/09/25
BL-945486,MAT-1275,AT-010,0.7,375,,Document review,2023-04-12
BL-861701,MAT-1276,AT-002,6.7,300,"""2,010.00""",Reviewed contract,19-Oct-2021
BL-587536,MAT-1277,AT-007,7.5,375,"""2,812.50""",Research,16/05/2023
BL-122322,MAT-1278,AT-004,8.2,250,,Court appearance,24-May-2022
BL-763990,MAT-1279,AT-010,7.6,300,2280.0,Negotiation,15/07/2022
BL-897915,MAT-1280,AT-010,7.3,375,,Client call,03-Oct-2021
BL-666161,MAT-1281,AT-007,3.5,250,$875.00,Reviewed contract,26-Nov-2022
BL-980184,MAT-1282,AT-004,2.3,250,,Reviewed contract,09/06/24
BL-127305,MAT-1283,AT-008,8.6,250,2150,Reviewed contract,20-Jan-2025
BL-453948,MAT-1284,AT-005,4.7,250,,Court appearance,2021-05-28
BL-545002,MAT-1285,AT-004,5.5,300,1650.0,Drafted motion,02/05/25
BL-155257,MAT-1286,AT-004,8.5,300,2550.0,Prepared discovery,1748766880
BL-336060,MAT-1287,AT-004,8.7,375,"€3,262",Reviewed contract,12/07/2021
BL-983856,MAT-1288,AT-001,5.6,375,2100.0,Court appearance,2020-12-24
BL-274342,MAT-1289,AT-006,5.3,300,1590.0,Document review,1640421280
BL-434033,MAT-1290,AT-008,9.3,250,"$2,325",Drafted motion,2025-05-11
BL-836486,MAT-1291,AT-007,5.4,250,"€1,350",Drafted motion,1614069280
BL-549744,MAT-1292,AT-004,9.2,250,"$2,300",Drafted motion,1705566880
BL-311787,MAT-1293,AT-008,1.6,250,$400.00,Negotiation,18/08/2021
BL-530336,MAT-1294,AT-009,6.6,300,1980.0,Court appearance,12-Oct-2021
BL-595619,MAT-1295,AT-004,3.8,375,,Document review,10-Jul-2023
BL-300729,MAT-1296,AT-008,3.3,250,"""825.00""",Research,1734078880
BL-498281,MAT-1297,AT-009,6.0,375,2250.0,Negotiation,23/11/2021
BL-492090,MAT-1298,AT-002,4.2,300,1260.0,Reviewed contract,29/08/24
BL-788481,MAT-1299,AT-008,7.5,250,,Drafted motion,2024-06-07
BL-744910,MAT-1300,AT-006,7.3,250,1825.0,Negotiation,15-Jun-2021
BL-775423,MAT-1301,AT-002,6.4,300,1920.0,Client call,16-Feb-2025
BL-611352,MAT-1302,AT-008,1.9,375,712.5,Court appearance,30-Jun-2025
BL-769655,MAT-1303,AT-010,9.8,300,"2,940",Client call,2024-08-17
BL-512663,MAT-1304,AT-003,9.3,375,,Reviewed contract,26/06/2023
BL-191319,MAT-1305,AT-006,7.3,375,,Court appearance,09/09/23
BL-128009,MAT-1306,AT-010,5.6,300,1680.0,Drafted motion,03-May-2022
BL-309751,MAT-1307,AT-005,8.2,250,"""2,050.00""",Court appearance,08/07/2024
BL-164211,MAT-1308,AT-009,5.2,375,1950.0,Client call,28-Apr-2024
BL-835347,MAT-1309,AT-005,1.4,300,420.0,Negotiation,30/09/2023
BL-614612,MAT-1310,AT-005,2.8,375,1050,Court appearance,25/04/24
BL-731982,MAT-1311,AT-004,1.8,375,,Client call,1635582880
BL-125355,MAT-1312,AT-010,7.3,375,2737.5,Prepared discovery,1661330080
BL-804661,MAT-1313,AT-003,5.8,375,"""2,175.00""",Reviewed contract,19-Oct-2022
BL-651774,MAT-1314,AT-003,4.1,300,1230.0,Negotiation,06/10/24
BL-454019,MAT-1315,AT-009,1.4,375,525.0,Negotiation,18-Sep-2023
BL-107361,MAT-1316,AT-005,8.1,375,"€3,038",Negotiation,21-Jan-2021
BL-590326,MAT-1317,AT-007,3.7,250,,Prepared discovery,1710923680
BL-641111,MAT-1318,AT-006,9.4,250,2350.0,Court appearance,1659774880
BL-488714,MAT-1319,AT-002,4.9,250,1225.0,Research,23/01/2022
BL-411502,MAT-1320,AT-006,3.0,300,€900,Reviewed contract,2021-12-05
BL-756006,MAT-1321,AT-001,3.9,300,,Document review,02/02/2022
BL-145656,MAT-1322,AT-008,4.5,300,1350.0,Negotiation,06/01/23
BL-672128,MAT-1323,AT-004,1.6,300,,Court appearance,28/08/25
BL-306053,MAT-1324,AT-006,6.3,375,"$2,362",Prepared discovery,07-May-2022
BL-232957,MAT-1325,AT-005,8.3,375,,Drafted motion,01/10/23
BL-482299,MAT-1326,AT-004,3.4,300,"""1,020.00""",Court appearance,1640766880
BL-211812,MAT-1327,AT-005,1.4,375,525.0,Drafted motion,26-Sep-2025
BL-806302,MAT-1328,AT-008,8.7,375,,Drafted motion,23/05/2022
BL-959159,MAT-1329,AT-004,9.4,300,,Document review,2024-05-04
BL-806950,MAT-1330,AT-002,1.8,300,540,Drafted motion,2025-02-27
BL-437316,MAT-1331,AT-007,6.6,300,1980.0,Client call,12/04/2021
BL-200780,MAT-1332,AT-008,3.2,300,960.0,Document review,03/11/25
BL-130194,MAT-1333,AT-009,6.2,250,1550.0,Prepared discovery,1664440480
BL-374123,MAT-1334,AT-002,6.2,300,"€1,860",Research,2022-10-20
BL-262060,MAT-1335,AT-010,2.8,300,$840,Document review,11-Feb-2024
BL-682061,MAT-1336,AT-008,9.7,375,,Reviewed contract,1734770080
BL-435803,MAT-1337,AT-007,2.2,300,660.0,Reviewed contract,04-Nov-2025
BL-707769,MAT-1338,AT-009,0.7,250,175.0,Reviewed contract,2025-11-17
BL-100484,MAT-1339,AT-006,9.3,300,,Prepared discovery,1667982880
BL-760213,MAT-1340,AT-003,8.0,375,3000.0,Prepared discovery,1755592480
BL-173946,MAT-1341,AT-001,9.9,375,,Drafted motion,21/08/21
BL-274381,MAT-1342,AT-004,8.8,375,"€3,300",Negotiation,18/10/23
BL-218330,MAT-1343,AT-006,3.1,300,930.0,Drafted motion,1662280480
