client_id,company_name,industry,annual_revenue,contact_phone,created_at
CL-1042,Banking Systems,Aerospace,"$22,980,274.00",792-226-6111,08/05/2022
CL-1043,Insurance Holdings Corp,Banking,"17,247,735",242-555-9728,2016-11-28
CL-1044,Energy Holdings Corp,Healthcare,95933359,380.951.9548,1707986079
CL-1045,Construction Group LLC,Manufacturing,38437115,449-968-8613,14/12/15
CL-1046,Insurance Holdings Corp,Manufacturing,"38,535,126",+1-918-482-1166,20/12/2015
CL-1047,Banking Partners,Pharmaceuticals,"""3,314,351.00""",426.614.4986,17/10/2024
CL-1048,Banking International,Energy,48219209,+1-477-513-5118,2017-12-16
CL-1049,Retail Systems,Retail,"38,111,151",(978) 737-5636,18/09/17
CL-1050,Telecommunications Group LLC,Banking,"7,109,013",499-914-3068,1742805279
CL-1051,Automotive Holdings Corp,Finance,"$16,312,516.00",(610) 703-2213,14/08/16
CL-1052,Energy International,Insurance,"84,002,706",589.661.8253,23/04/2023
CL-1053,Retail Holdings Corp,Pharmaceuticals,"$22,079,846",(765) 276-3564,2023-02-24
CL-1054,Technology Systems,Banking,"$10,553,585",470-840-4241,17-Feb-2018
CL-1055,Finance Holdings Corp,Automotive,77397676,327-679-5982,1659947679
CL-1056,Transportation Partners,Automotive,"$82,029,073.00",293.434.1339,12/01/2023
CL-1057,Aerospace Partners,Finance,"""13,246,348.00""",(618) 541-6260,26-Jul-2020
CL-1058,Real Estate Solutions Inc,Automotive,"$34,876,400.00",(991) 613-9431,2022-03-19
CL-1059,Aerospace Partners,Manufacturing,"""7,927,215.00""",762-334-5719,23/07/2023
CL-1060,Telecommunications Solutions Inc,Technology,"$55,759,583",+1-316-672-2924,1729154079
CL-1061,Real Estate International,Retail,"52,484,043",(720) 964-3236,14/09/2023
CL-1062,Banking Holdings Corp,Technology,78835998,352-657-9824,1528533279
CL-1063,Retail International,Banking,32348220,244-525-8749,2016-03-28
CL-1064,Manufacturing Solutions Inc,Aerospace,14383077,215-939-3361,10-Dec-2019
CL-1065,Energy Systems,Banking,"€45,099,326",746-589-6188,12-Apr-2016
CL-1066,Healthcare Systems,Energy,"€60,549,527",506.229.1753,1703234079
CL-1067,Energy International,Telecommunications,"$23,814,819.00",824-591-4945,16-Nov-2023
CL-1068,Automotive Partners,Pharmaceuticals,"$91,947,393",275.652.6661,17-Sep-2019
CL-1069,Real Estate Solutions Inc,Construction,"""52,185,849.00""",(788) 502-5837,05/06/2019
CL-1070,Real Estate Holdings Corp,Banking,"""82,478,884.00""",424.851.4115,2016-11-05
CL-1071,Aerospace Holdings Corp,Automotive,"""13,097,496.00""",+1-965-625-3877,13/07/22
CL-1072,Technology Systems,Insurance,"$16,457,816.00",344-972-4696,2020-08-02
CL-1073,Real Estate Holdings Corp,Healthcare,"€79,458,327",580-310-4830,2021-07-26
CL-1074,Energy Solutions Inc,Pharmaceuticals,"""7,086,345.00""",+1-704-318-2592,03-Jun-2025
CL-1075,Banking Systems,Aerospace,"$56,684,858.00",701.830.7686,1530347679
CL-1076,Manufacturing Solutions Inc,Construction,"""74,076,970.00""",+1-262-607-5520,10/08/2018
CL-1077,Manufacturing Group LLC,Insurance,"$76,776,373.00",+1-983-767-4394,16-Jul-2023
CL-1078,Technology Group LLC,Telecommunications,"$89,725,654.00",+1-334-215-6869,15-Feb-2016
CL-1079,Energy International,Banking,9530615,(996) 570-9408,01/07/2020
CL-1080,Automotive Solutions Inc,Pharmaceuticals,"€54,904,155",(310) 702-8267,21/01/21
CL-1081,Aerospace International,Pharmaceuticals,"52,124,122",501-664-9282,1550738079
CL-1082,Manufacturing Partners,Energy,"$56,833,185.00",520.637.6120,2017-08-28
CL-1083,Healthcare Systems,Energy,"$18,463,800.00",(800) 775-6400,08-Aug-2019
CL-1084,Healthcare International,Manufacturing,"€29,553,319",693.429.2773,08/02/2024
CL-1085,Telecommunications International,Construction,"91,593,840",(226) 823-5381,19-Aug-2018
CL-1086,Finance International,Construction,"€10,339,597",+1-848-231-2503,31/03/24
CL-1087,Manufacturing International,Banking,"$12,402,740.00",(359) 361-1815,07/12/2015
CL-1088,Retail International,Technology,"$47,328,316.00",490.894.8972,2021-01-07
CL-1089,Insurance Group LLC,Retail,"$39,848,936.00",+1-207-709-8055,28/02/2022
CL-1090,Energy Systems,Healthcare,59548403,279-520-8033,2025-08-18
CL-1091,Finance International,Manufacturing,"$93,557,892.00",647-308-4986,1634027679
CL-1092,Manufacturing Group LLC,Retail,"$69,515,906.00",743.722.4176,2018-09-27
CL-1093,Finance International,Retail,"$88,980,930",991-843-9095,29-Dec-2024
CL-1094,Real Estate Partners,Healthcare,"$37,866,075.00",560.719.2215,17-Mar-2019
CL-1095,Construction Solutions Inc,Pharmaceuticals,80736043,673-794-1672,26/02/2020
CL-1096,Automotive Partners,Finance,"$47,095,437.00",(716) 861-3827,30/10/2017
CL-1097,Manufacturing Holdings Corp,Finance,"""52,998,170.00""",895.812.1857,03-Apr-2021
CL-1098,Finance Holdings Corp,Construction,"$79,213,973",+1-558-517-7421,25/05/2018
CL-1099,Finance Systems,Construction,"€13,543,044",(633) 720-6928,05-Aug-2018
CL-1100,Finance Group LLC,Retail,"$40,700,543.00",(719) 989-9843,15/05/16
CL-1101,Banking International,Construction,"$97,795,543.00",620-573-4891,06/12/2020
CL-1102,Insurance Partners,Insurance,"50,370,777",651-672-5616,26/03/18
CL-1103,Technology Solutions Inc,Construction,"$50,823,245.00",928.728.3042,1565858079
CL-1104,Energy Solutions Inc,Construction,"$61,549,373.00",624.254.7495,02/12/21
CL-1105,Healthcare Systems,Transportation,"$20,602,406.00",493-683-3273,2024-04-18
CL-1106,Finance International,Construction,"$71,836,292.00",994.495.4893,03/02/2021
CL-1107,Construction Partners,Healthcare,"€72,947,921",+1-727-788-4963,27/08/25
CL-1108,Pharmaceuticals Systems,Finance,"$71,260,907.00",(738) 757-9312,17-Oct-2021
CL-1109,Insurance Solutions Inc,Manufacturing,"€33,363,373",+1-843-306-6447,14/08/17
CL-1110,Finance Group LLC,Pharmaceuticals,97105940,(237) 500-4302,18/02/2017
CL-1111,Technology Solutions Inc,Real Estate,"$39,401,154.00",(871) 539-5476,1635755679
CL-1112,Banking Partners,Real Estate,"$70,696,025.00",944-634-2293,06-Nov-2022
CL-1113,Pharmaceuticals Holdings Corp,Manufacturing,"€60,849,800",636.370.8272,30-Jan-2019
CL-1114,Pharmaceuticals Partners,Pharmaceuticals,"€69,865,239",+1-895-363-1510,08/11/16
CL-1115,Pharmaceuticals Holdings Corp,Insurance,"$52,385,847.00",819.357.8371,24/06/2019
CL-1116,Pharmaceuticals Holdings Corp,Manufacturing,"€16,226,815",390-711-9482,1752914079
CL-1117,Banking Partners,Technology,"$17,460,116.00",(662) 376-8292,26/04/2024
CL-1118,Technology Group LLC,Transportation,"$49,518,659",+1-324-405-3275,1582101279
CL-1119,Transportation Solutions Inc,Aerospace,"€42,512,297",936-690-9612,17-May-2021
CL-1120,Pharmaceuticals International,Real Estate,"18,224,779",+1-855-801-3981,29/12/2015
CL-1121,Finance Holdings Corp,Finance,"""47,442,431.00""",280.456.4216,08/01/2020
CL-1122,Finance Group LLC,Aerospace,"""97,721,692.00""",(777) 242-1464,20/01/2019
CL-1123,Automotive Partners,Pharmaceuticals,"""39,879,071.00""",694.450.7653,1534926879
CL-1124,Retail Holdings Corp,Real Estate,"€20,282,885",526-951-6658,02-May-2022
CL-1125,Technology Partners,Healthcare,"$19,908,276.00",+1-497-593-7850,02/10/24
CL-1126,Real Estate Holdings Corp,Real Estate,4110670,+1-717-668-4944,30-Oct-2024
CL-1127,Construction Systems,Transportation,"$39,352,498.00",310.641.3194,2019-10-27
CL-1128,Telecommunications Group LLC,Aerospace,"$75,252,324.00",595.716.8378,2022-08-08
CL-1129,Manufacturing International,Insurance,"20,363,237",(721) 611-9193,1691656479
CL-1130,Aerospace International,Finance,"""45,018,830.00""",366.602.5902,18/12/2018
CL-1131,Automotive Holdings Corp,Construction,91436763,797-515-1436,11/08/2024
CL-1132,Pharmaceuticals Systems,Telecommunications,"€52,028,283",+1-448-232-2800,07/03/24
CL-1133,Telecommunications International,Energy,"$99,762,406.00",+1-922-341-9498,06-Sep-2017
CL-1134,Telecommunications Holdings Corp,Transportation,"€48,551,594",897-858-5331,05/04/18
CL-1135,Retail Systems,Banking,"""43,552,488.00""",773.938.5480,1592296479
CL-1136,Automotive Holdings Corp,Technology,"€47,488,123",+1-462-965-8849,17/11/20
CL-1137,Aerospace Group LLC,Banking,"7,813,620",(431) 853-4814,2018-04-30
CL-1138,Transportation Group LLC,Telecommunications,88629787,688.866.4267,18/12/2015
CL-1139,Banking Solutions Inc,Banking,"$57,087,572",+1-237-606-9116,12-Dec-2015
CL-1140,Transportation Holdings Corp,Healthcare,"61,981,700",736-705-3198,25/08/18
CL-1141,Finance Solutions Inc,Banking,"€40,597,485",975-397-3875,1561192479
CL-1142,Real Estate Holdings Corp,Finance,1916723,441.657.5374,30-Nov-2022
CL-1143,Healthcare Partners,Pharmaceuticals,"€22,436,829",(714) 920-6095,17/04/21
CL-1144,Real Estate Systems,Finance,"€51,147,077",+1-762-682-9806,05/03/2021
CL-1145,Aerospace Solutions Inc,Transportation,"$74,504,237",+1-786-749-3455,03/03/20
CL-1146,Transportation International,Healthcare,"$8,467,311",(725) 625-8484,1601627679
CL-1147,Retail International,Banking,"""7,078,694.00""",(917) 265-9866,1612168479
CL-1148,Pharmaceuticals Systems,Insurance,51259293,+1-586-584-2314,20/07/2021
CL-1149,Banking Group LLC,Finance,4051483,889-936-9920,1656491679
CL-1150,Retail Systems,Technology,"€5,324,134",+1-629-829-1256,1475656479
CL-1151,Banking Solutions Inc,Retail,"59,916,591",+1-422-972-1924,19/03/2023
CL-1152,Technology Group LLC,Retail,"""30,667,854.00""",481-262-3869,1615797279
CL-1153,Energy Partners,Banking,"$41,250,352",+1-972-750-8758,2021-08-14
CL-1154,Telecommunications International,Energy,"""53,132,722.00""",408-538-2295,2023-02-12
CL-1155,Aerospace International,Pharmaceuticals,"10,768,947",941-887-4555,24/09/23
CL-1156,Insurance Partners,Banking,"€94,365,379",409.606.4921,23/01/2019
CL-1157,Manufacturing International,Technology,"€63,546,007",+1-680-979-6246,25/09/2024
CL-1158,Technology International,Automotive,78731247,502.356.4214,06/10/2017
CL-1159,Construction Partners,Insurance,"€62,851,421",560-373-3293,2023-12-14
CL-1160,Finance Systems,Energy,"$10,122,502",209-423-9285,2017-11-28
CL-1161,Energy Solutions Inc,Telecommunications,"""72,057,233.00""",748-493-1280,27/09/17
CL-1162,Technology Holdings Corp,Telecommunications,"""54,270,536.00""",+1-615-670-4984,2024-12-14
CL-1163,Telecommunications Partners,Energy,"€86,462,880",375-284-9189,25/09/25
CL-1164,Technology Solutions Inc,Real Estate,"92,862,470",+1-777-873-1539,1662885279
CL-1165,Aerospace Group LLC,Finance,"53,231,715",(539) 593-3292,2018-03-31
CL-1166,Healthcare Holdings Corp,Construction,83391596,992.534.1485,28/02/2019
CL-1167,Pharmaceuticals International,Finance,"12,501,669",(502) 452-2204,1488875679
CL-1168,Healthcare Solutions Inc,Healthcare,"""60,691,437.00""",+1-304-335-2430,2021-10-20
CL-1169,Telecommunications Solutions Inc,Manufacturing,"""81,268,079.00""",594-212-5781,15/01/2017
CL-1170,Energy Group LLC,Pharmaceuticals,"""37,093,692.00""",+1-704-349-2036,1655541279
CL-1171,Retail Systems,Technology,"$80,699,345",668.309.3219,04-Dec-2018
CL-1172,Construction Systems,Energy,"""19,270,317.00""",817-911-4290,21-Jun-2022
CL-1173,Retail Holdings Corp,Insurance,38621248,+1-573-316-4273,06/09/16
CL-1174,Banking Solutions Inc,Construction,"$91,325,531",848.510.4965,2020-03-28
CL-1175,Aerospace Partners,Real Estate,"€68,996,397",628.756.1602,01/02/16
CL-1176,Aerospace Solutions Inc,Pharmaceuticals,"€87,574,622",609-970-6432,30/03/18
CL-1177,Aerospace Systems,Telecommunications,"""30,666,377.00""",+1-600-674-9199,03-Nov-2020
CL-1178,Construction Systems,Healthcare,"""47,751,880.00""",666-411-9537,1651739679
CL-1179,Automotive Systems,Technology,"""4,031,322.00""",+1-863-311-3692,25/04/2016
CL-1180,Insurance Partners,Retail,"€26,016,429",+1-642-605-1478,2018-08-28
CL-1181,Insurance Systems,Technology,"78,490,324",+1-391-574-6340,12/09/2024
CL-1182,Aerospace Partners,Energy,"""16,331,969.00""",668.832.3826,08-Dec-2021
CL-1183,Healthcare Group LLC,Technology,"94,071,477",597-628-3258,02/04/2024
CL-1184,Finance Group LLC,Technology,"$61,532,325.00",+1-567-209-8939,1542875679
CL-1185,Construction Partners,Banking,"23,448,383",231.979.4613,29/11/24
CL-1186,Insurance Partners,Banking,"69,559,218",316.474.9898,27/07/2024
CL-1187,Banking Systems,Healthcare,"$40,957,816.00",(660) 469-6711,11/01/2016
CL-1188,Energy Group LLC,Pharmaceuticals,"$19,687,800",411.260.6747,14-Jan-2017
CL-1189,Construction International,Technology,19198434,+1-260-483-3078,1496651679
CL-1190,Pharmaceuticals Holdings Corp,Aerospace,"$51,354,777.00",848-987-2525,1602146079
CL-1191,Automotive Systems,Aerospace,"€99,104,023",(880) 914-6869,12/09/20
CL-1192,Construction Holdings Corp,Manufacturing,"$74,458,776",(779) 696-6631,2019-05-11
CL-1193,Automotive Partners,Real Estate,"€93,421,237",(509) 362-5489,11-May-2024
CL-1194,Pharmaceuticals Holdings Corp,Energy,"$58,610,401.00",+1-920-297-1017,28/06/2018
CL-1195,Banking Holdings Corp,Automotive,"$57,682,016",689-272-4751,21-Jan-2018
CL-1196,Energy Group LLC,Finance,"10,182,050",208-824-3688,1574411679
CL-1197,Retail Solutions Inc,Construction,"$19,792,245.00",803.947.7291,26-May-2017
CL-1198,Aerospace International,Telecommunications,"€39,241,423",+1-227-874-5942,1486456479
CL-1199,Transportation Group LLC,Insurance,"$52,792,685",(711) 853-2163,29/07/2024
CL-1200,Pharmaceuticals Group LLC,Telecommunications,"10,796,799",+1-269-214-5295,26/08/2025
CL-1201,Energy Solutions Inc,Banking,"$73,162,880",(484) 285-6077,1544085279
CL-1202,Banking Partners,Technology,"$8,772,004.00",(644) 318-8428,2023-02-05
CL-1203,Real Estate Holdings Corp,Finance,"€70,420,474",+1-465-370-7092,2017-01-21
CL-1204,Telecommunications Solutions Inc,Technology,"€96,606,407",278.708.8457,17/05/19
CL-1205,Aerospace Systems,Transportation,"31,655,922",+1-202-245-1201,13/07/17
CL-1206,Insurance Systems,Telecommunications,"$31,133,935",626.937.6241,25/03/2022
CL-1207,Insurance International,Retail,54811222,489.992.6090,24-Jan-2025
CL-1208,Insurance Holdings Corp,Aerospace,"""33,559,072.00""",+1-805-705-4201,20/08/20
CL-1209,Construction Systems,Pharmaceuticals,"€45,965,270",(585) 955-6038,1761640479
CL-1210,Technology Solutions Inc,Banking,"32,067,722",622-917-7102,1462869279
CL-1211,Automotive Partners,Aerospace,"""32,778,964.00""",522.602.6345,27/07/22
CL-1212,Finance Solutions Inc,Healthcare,"""61,339,827.00""",616.323.9780,1597221279
CL-1213,Finance Systems,Healthcare,"95,583,877",+1-241-420-6370,1515486879
CL-1214,Technology Holdings Corp,Pharmaceuticals,5171767,(769) 966-5093,2021-04-21
CL-1215,Retail Partners,Finance,"€93,111,648",(286) 796-5240,09/10/18
CL-1216,Automotive Partners,Healthcare,23547129,(941) 604-9128,28-May-2019
CL-1217,Technology Partners,Technology,"5,650,569",831-451-5835,2018-12-14
CL-1218,Energy Group LLC,Finance,"34,440,045",219-591-6883,1538901279
CL-1219,Manufacturing International,Automotive,"""4,933,043.00""",259.683.9674,2016-09-30
CL-1220,Telecommunications Systems,Technology,30448924,+1-563-377-3885,20-May-2019
CL-1221,Aerospace Group LLC,Finance,"$73,762,732",(702) 238-2478,17/05/2022
CL-1222,Transportation International,Manufacturing,"€18,514,010",(381) 531-1975,07/01/2022
CL-1223,Banking Systems,Manufacturing,"""79,653,825.00""",+1-509-530-3235,15/09/24
CL-1224,Manufacturing Group LLC,Insurance,"""24,535,297.00""",+1-951-905-5825,06/08/2021
CL-1225,Manufacturing International,Aerospace,"$86,851,936.00",(708) 344-6425,2019-07-01
CL-1226,Technology Group LLC,Automotive,"""94,036,518.00""",(462) 310-1020,1738139679
CL-1227,Telecommunications Partners,Manufacturing,"65,355,957",+1-866-976-4695,2016-12-29
CL-1228,Healthcare Holdings Corp,Healthcare,"€51,393,104",276.760.2525,1705134879
CL-1229,Energy Group LLC,Transportation,"$14,590,593",394.619.9849,2022-02-15
CL-1230,Telecommunications Partners,Aerospace,"$8,315,517.00",637-289-5825,17/10/21
CL-1231,Construction Solutions Inc,Real Estate,54347164,876-471-2493,23/07/20
CL-1232,Real Estate Partners,Technology,"""31,365,724.00""",(777) 263-3476,14/06/2016
CL-1233,Construction Partners,Automotive,"€57,187,845",686-786-4860,01/11/2019
CL-1234,Aerospace Systems,Insurance,20790089,+1-377-371-4471,1719563679
CL-1235,Aerospace Holdings Corp,Construction,"$98,590,113.00",289.597.7510,14/10/2016
CL-1236,Energy Solutions Inc,Insurance,"21,084,652",(802) 796-2641,05/03/2024
CL-1237,Energy Systems,Technology,77775659,238-376-5512,1546590879
CL-1238,Banking Partners,Automotive,"""50,988,144.00""",510-518-5593,12/08/25
CL-1239,Construction Holdings Corp,Insurance,"98,817,801",861-291-4079,2021-03-01
CL-1240,Technology Systems,Healthcare,"55,141,437",+1-782-229-3846,1714120479
CL-1241,Retail Holdings Corp,Banking,63306347,+1-850-326-1500,1583397279
CL-1242,Manufacturing Group LLC,Manufacturing,"""93,455,954.00""",+1-228-595-1813,28/10/24
CL-1243,Energy International,Pharmaceuticals,92563298,(335) 862-3837,1758962079
CL-1244,Technology Group LLC,Real Estate,"41,553,227",(838) 606-2676,31-Mar-2018
CL-1245,Manufacturing Holdings Corp,Healthcare,"€38,162,866",+1-928-867-5895,29/11/2022
CL-1246,Finance Systems,Pharmaceuticals,"""88,966,375.00""",465-628-7628,05/04/20
CL-1247,Pharmaceuticals Holdings Corp,Transportation,"$41,291,467",873.771.3967,11/05/2016
CL-1248,Healthcare Group LLC,Pharmaceuticals,"""30,974,566.00""",630.539.7089,1498725279
CL-1249,Aerospace Solutions Inc,Aerospace,"$27,111,227.00",897.590.9680,24/03/20
CL-1250,Transportation Partners,Aerospace,"€43,464,268",384-997-2324,2016-03-02
CL-1251,Retail Group LLC,Technology,"$22,264,801.00",332-829-8105,2020-05-07
CL-1252,Banking Holdings Corp,Retail,"44,246,714",+1-395-218-1067,08/05/17
CL-1253,Aerospace Holdings Corp,Telecommunications,"$9,762,675.00",505.497.8469,1470558879
CL-1254,Transportation Partners,Finance,"€31,657,783",+1-334-416-1359,29-Apr-2023
CL-1255,Aerospace Solutions Inc,Automotive,"$88,720,360.00",249-906-2897,1466238879
CL-1256,Pharmaceuticals Systems,Banking,"€41,415,166",303.878.9524,2021-02-13
CL-1257,Technology Solutions Inc,Healthcare,"67,805,406",+1-404-996-5308,12/08/23
CL-1258,Transportation Group LLC,Real Estate,"$45,372,866.00",(213) 887-2458,2023-03-18
CL-1259,Banking Solutions Inc,Banking,87481420,(503) 470-8606,01-Apr-2023
CL-1260,Healthcare Solutions Inc,Banking,"$2,298,197",879.862.3793,14-Apr-2016
CL-1261,Energy Partners,Healthcare,37484819,+1-906-689-7909,2016-06-19
CL-1262,Insurance International,Real Estate,25328380,+1-997-567-1472,1545813279
CL-1263,Pharmaceuticals Holdings Corp,Technology,"€95,565,539",737.985.4669,07/02/16
CL-1264,Pharmaceuticals Systems,Pharmaceuticals,"20,952,062",+1-827-255-1190,2016-06-06
CL-1265,Manufacturing Holdings Corp,Retail,"69,038,903",+1-858-587-7607,2023-05-05
CL-1266,Healthcare Partners,Manufacturing,14776553,(236) 770-9996,1619339679
CL-1267,Automotive Group LLC,Construction,"45,556,611",814-684-6952,23-Jul-2019
CL-1268,Telecommunications Holdings Corp,Telecommunications,7144233,(343) 934-7704,2023-12-31
CL-1269,Construction Group LLC,Real Estate,15464073,247-848-3018,1494146079
CL-1270,Automotive International,Banking,"79,533,572",+1-999-381-3845,1591173279
CL-1271,Energy Holdings Corp,Technology,"$61,779,921",341.622.9393,24/10/16
CL-1272,Technology Systems,Banking,"€91,244,472",865.382.9255,08/05/2024
CL-1273,Banking International,Pharmaceuticals,"$57,691,738.00",735-309-1414,10-Oct-2016
CL-1274,Technology Group LLC,Pharmaceuticals,"""93,690,071.00""",(408) 971-9866,16/01/2017
CL-1275,Insurance Systems,Telecommunications,"$94,004,305.00",590.596.7825,22/05/18
CL-1276,Retail Systems,Construction,"€79,971,743",817.401.4170,17/09/19
CL-1277,Automotive Partners,Energy,"$75,705,402",(364) 798-5178,16/11/22
CL-1278,Insurance Systems,Automotive,89837400,(786) 763-6866,18/06/22
CL-1279,Telecommunications Group LLC,Insurance,73890984,+1-294-557-4624,26-Oct-2019
CL-1280,Real Estate International,Telecommunications,"""16,397,719.00""",(656) 446-4994,1525422879
CL-1281,Technology Solutions Inc,Banking,"51,326,016",656.698.1718,2020-01-27
CL-1282,Automotive Systems,Telecommunications,"€29,290,610",(992) 418-7950,28/04/18
CL-1283,Manufacturing Solutions Inc,Banking,"$10,831,184",+1-457-771-2154,1742891679
CL-1284,Energy Systems,Automotive,"€72,784,254",(937) 833-2036,09-Oct-2025
CL-1285,Technology Partners,Healthcare,"€54,031,203",+1-231-685-3561,14/08/16
CL-1286,Telecommunications International,Automotive,"$17,540,343.00",(786) 810-7456,1747298079
CL-1287,Finance Group LLC,Finance,"$34,922,427.00",385-887-1891,2023-08-30
CL-1288,Banking International,Retail,"$45,406,060",(887) 871-4842,01-Nov-2021
CL-1289,Aerospace Systems,Manufacturing,"$94,074,374",779.780.6971,16/04/19
CL-1290,Construction Holdings Corp,Technology,"""92,211,707.00""",691.673.8296,14/08/17
CL-1291,Technology Group LLC,Construction,"€27,364,647",(841) 278-2235,20/11/2022
CL-1292,Technology International,Telecommunications,"$64,364,719",574.601.4658,1530693279
CL-1293,Pharmaceuticals Group LLC,Automotive,"92,826,623",+1-343-656-3608,24-Dec-2023
CL-1294,Real Estate Group LLC,Insurance,"$36,481,411",243.884.4387,2021-09-11
CL-1295,Telecommunications Systems,Banking,"36,341,684",783-378-7171,1557304479
CL-1296,Manufacturing Holdings Corp,Energy,"$65,707,720.00",+1-713-342-8207,24/01/19
CL-1297,Manufacturing International,Finance,89732634,538-937-2856,04/04/2023
CL-1298,Retail Solutions Inc,Automotive,"$77,972,056",(337) 844-9399,13-Mar-2019
CL-1299,Aerospace International,Energy,"€97,576,003",490-287-4548,04/09/17
CL-1300,Insurance International,Finance,"84,646,063",470-371-6614,1528706079
CL-1301,Automotive Group LLC,Healthcare,68693989,+1-353-820-2577,2018-03-01
CL-1302,Aerospace International,Transportation,92074695,(734) 630-7068,1532334879
CL-1303,Insurance Systems,Aerospace,"$14,115,341",(460) 688-4809,25-Jan-2021
CL-1304,Banking Solutions Inc,Banking,"71,134,216",207.584.4365,1720427679
CL-1305,Construction International,Technology,"76,788,756",+1-482-896-7511,27-Sep-2021
CL-1306,Technology Holdings Corp,Real Estate,"€47,218,720",(607) 953-3262,2017-02-26
CL-1307,Insurance Holdings Corp,Energy,"€83,413,089",923-253-3633,1515400479
CL-1308,Healthcare Holdings Corp,Healthcare,"50,772,648",238-941-7296,10/12/2024
CL-1309,Real Estate Partners,Pharmaceuticals,"€28,072,687",(730) 492-4190,20/04/2016
CL-1310,Retail Systems,Manufacturing,"""22,131,878.00""",998-609-6785,2024-11-12
CL-1311,Banking International,Technology,"""47,720,553.00""",431-820-4187,10/12/21
CL-1312,Telecommunications Solutions Inc,Healthcare,"$40,493,811.00",725.463.9813,10/01/22
CL-1313,Real Estate International,Pharmaceuticals,"""65,688,940.00""",+1-269-591-4610,14-Jul-2024
CL-1314,Energy Systems,Healthcare,"$11,204,415",+1-687-521-6792,1565858079
CL-1315,Retail Holdings Corp,Banking,"$31,763,714",(833) 564-3555,26/07/2023
