matter_id,client_ref,title,practice_area,opened_on,lead_attorney,estimated_value
MAT-1044,CL-1044,Energy Holdings Corp v. ACME Corp - Employment Dispute,Regulatory,19/10/2025,James Wilson,19628
MAT-1045,CL-1045,Construction Group LLC v. ACME Corp - Employment Dispute,Environmental,20-Apr-2025,Michael Brown,37585
MAT-1046,CL-1046,Insurance Holdings Corp - Regulatory Inquiry,Corporate,12/06/21,Sarah Chen,"""16,382.00"""
MAT-1047,CL-1047,Banking Partners - Contract Breach,Regulatory,17/03/21,Daniel Park,12K
MAT-1048,CL-1048,Banking International - Contract Breach,Immigration,26/11/21,James Wilson,20561
MAT-1049,CL-1049,Retail Systems v. ACME Corp - Employment Dispute,Tax,05/07/25,Sarah Chen,"$7,722.00"
MAT-1050,CL-1050,Telecommunications Group LLC - Contract Breach,Environmental,1647938080,Emily Davis,"37,831"
MAT-1051,CL-1051,Automotive Holdings Corp - Regulatory Inquiry,Tax,1710491680,Mark Thompson,49K
MAT-1052,CL-1052,Energy International - Master Services Agreement Negotiation,IP,15-Sep-2025,Robert Taylor,7K
MAT-1053,CL-1053,Retail Holdings Corp - Regulatory Inquiry,Employment,1634978080,Daniel Park,44K
MAT-1054,CL-1054,Technology Systems - Regulatory Inquiry,Immigration,1747211680,Emily Davis,7507
MAT-1055,CL-1055,Finance Holdings Corp - Master Services Agreement Negotiation,Corporate,1666427680,Ayesha Khan,31K
MAT-1056,CL-1056,Transportation Partners v. ACME Corp - Employment Dispute,Litigation,2022-12-17,Mark Thompson,32K
MAT-1057,CL-1057,Aerospace Partners v. ACME Corp - Employment Dispute,IP,12/10/2023,Robert Taylor,"$31,231"
MAT-1058,CL-1058,Real Estate Solutions Inc - Master Services Agreement Negotiation,Tax,24/12/22,Hannah Lee,"€5,788"
MAT-1059,CL-1059,Aerospace Partners - Master Services Agreement Negotiation,Contracts,1636533280,Daniel Park,49K
MAT-1060,CL-1060,Telecommunications Solutions Inc v. ACME Corp - Employment Dispute,Regulatory,2024-09-26,Michael Brown,32K
MAT-1061,CL-1061,Real Estate International - Regulatory Inquiry,Regulatory,05/12/2022,Daniel Park,8K
MAT-1062,CL-1062,Banking Holdings Corp v. ACME Corp - Employment Dispute,Environmental,24-May-2022,Robert Taylor,11K
MAT-1063,CL-1063,Retail International - Contract Breach,Immigration,1691742880,Ayesha Khan,10205
MAT-1064,CL-1064,Manufacturing Solutions Inc - Contract Breach,Environmental,1687682080,Daniel Park,39527
MAT-1065,CL-1065,Energy Systems - Contract Breach,Employment,1704875680,Emily Davis,"""11,617.00"""
MAT-1066,CL-1066,Healthcare Systems v. ACME Corp - Employment Dispute,Corporate,13-Dec-2023,Daniel Park,31356
MAT-1067,CL-1067,Energy International - Contract Breach,Immigration,30/05/22,Daniel Park,18K
MAT-1068,CL-1068,Automotive Partners v. ACME Corp - Employment Dispute,IP,17/12/23,Hannah Lee,"$33,083"
MAT-1069,CL-1069,Real Estate Solutions Inc - Regulatory Inquiry,Tax,2021-06-18,Michael Brown,6207
MAT-1070,CL-1070,Real Estate Holdings Corp - Regulatory Inquiry,Immigration,24-Apr-2025,Michael Brown,32K
MAT-1071,CL-1071,Aerospace Holdings Corp - Master Services Agreement Negotiation,Tax,2025-11-06,Hannah Lee,"$14,409"
MAT-1072,CL-1072,Technology Systems - Master Services Agreement Negotiation,M&A,13-Feb-2024,James Wilson,48K
MAT-1073,CL-1073,Real Estate Holdings Corp - Master Services Agreement Negotiation,IP,29/09/2021,Emily Davis,48634
MAT-1074,CL-1074,Energy Solutions Inc - Contract Breach,Environmental,01/09/2023,Michael Brown,20525
MAT-1075,CL-1075,Banking Systems - Contract Breach,M&A,16/05/25,Sarah Chen,19061
MAT-1076,CL-1076,Manufacturing Solutions Inc - Master Services Agreement Negotiation,Immigration,03/08/2021,Ayesha Khan,"$6,802.00"
MAT-1077,CL-1077,Manufacturing Group LLC v. ACME Corp - Employment Dispute,Regulatory,2025-01-13,James Wilson,45K
MAT-1078,CL-1078,Technology Group LLC - Contract Breach,M&A,1687163680,Mark Thompson,25584
MAT-1079,CL-1079,Energy International - Regulatory Inquiry,Immigration,19/02/2023,Robert Taylor,"28,542"
MAT-1080,CL-1080,Automotive Solutions Inc - Regulatory Inquiry,Contracts,1705048480,Hannah Lee,34644
MAT-1081,CL-1081,Aerospace International - Master Services Agreement Negotiation,Contracts,08-Jul-2024,Hannah Lee,"$13,496.00"
MAT-1082,CL-1082,Manufacturing Partners - Master Services Agreement Negotiation,Corporate,2023-05-22,Michael Brown,"€17,088"
MAT-1083,CL-1083,Healthcare Systems - Master Services Agreement Negotiation,Immigration,15/10/2021,Robert Taylor,22196
MAT-1084,CL-1084,Healthcare International - Master Services Agreement Negotiation,Immigration,1705048480,Daniel Park,32K
MAT-1085,CL-1085,Telecommunications International - Regulatory Inquiry,Immigration,25/02/21,Mark Thompson,19K
MAT-1086,CL-1086,Finance International v. ACME Corp - Employment Dispute,Immigration,2021-08-05,Lina Gomez,36K
MAT-1087,CL-1087,Manufacturing International - Master Services Agreement Negotiation,Corporate,1690965280,Ayesha Khan,26K
MAT-1088,CL-1088,Retail International v. ACME Corp - Employment Dispute,Litigation,17/05/21,Emily Davis,24840
MAT-1089,CL-1089,Insurance Group LLC - Regulatory Inquiry,Contracts,10/01/2022,Lina Gomez,21453
MAT-1090,CL-1090,Energy Systems - Contract Breach,Employment,2021-01-18,Ayesha Khan,"""20,381.00"""
MAT-1091,CL-1091,Finance International - Master Services Agreement Negotiation,IP,04/07/25,Ayesha Khan,39K
MAT-1092,CL-1092,Manufacturing Group LLC - Master Services Agreement Negotiation,Corporate,13/05/2021,Robert Taylor,22K
MAT-1093,CL-1093,Finance International - Contract Breach,Environmental,18-Nov-2025,Sarah Chen,10588
MAT-1094,CL-1094,Real Estate Partners - Master Services Agreement Negotiation,Immigration,31/03/2021,Robert Taylor,11K
MAT-1095,CL-1095,Construction Solutions Inc - Regulatory Inquiry,Litigation,1648197280,Sarah Chen,24K
MAT-1096,CL-1096,Automotive Partners - Master Services Agreement Negotiation,Regulatory,2025-07-25,Lina Gomez,19447
MAT-1097,CL-1097,Manufacturing Holdings Corp - Master Services Agreement Negotiation,Regulatory,2023-01-10,Mark Thompson,12265
MAT-1098,CL-1098,Finance Holdings Corp - Regulatory Inquiry,Litigation,2022-01-03,Mark Thompson,15K
MAT-1099,CL-1099,Finance Systems - Contract Breach,IP,03-Mar-2024,Lina Gomez,7526
MAT-1100,CL-1100,Finance Group LLC - Master Services Agreement Negotiation,Environmental,2021-06-23,Lina Gomez,30K
MAT-1101,CL-1101,Banking International - Regulatory Inquiry,Immigration,19/12/22,Michael Brown,"$9,535.00"
MAT-1102,CL-1102,Insurance Partners v. ACME Corp - Employment Dispute,Litigation,24/05/24,Sarah Chen,36051
MAT-1103,CL-1103,Technology Solutions Inc - Master Services Agreement Negotiation,Tax,2024-05-30,Robert Taylor,34818
MAT-1104,CL-1104,Energy Solutions Inc - Contract Breach,Tax,21/06/24,Lina Gomez,5K
MAT-1105,CL-1105,Healthcare Systems v. ACME Corp - Employment Dispute,Employment,1695026080,Ayesha Khan,10830
MAT-1106,CL-1106,Finance International - Regulatory Inquiry,IP,1761640480,Sarah Chen,15998
MAT-1107,CL-1107,Construction Partners v. ACME Corp - Employment Dispute,Employment,30/08/25,Emily Davis,37K
MAT-1108,CL-1108,Pharmaceuticals Systems - Contract Breach,IP,08-Oct-2025,Mark Thompson,47205
MAT-1109,CL-1109,Insurance Solutions Inc - Contract Breach,Contracts,26-Aug-2024,James Wilson,7454
MAT-1110,CL-1110,Finance Group LLC - Contract Breach,M&A,15-Apr-2024,Michael Brown,"35,400"
MAT-1111,CL-1111,Technology Solutions Inc v. ACME Corp - Employment Dispute,Environmental,09/08/2022,Emily Davis,"$38,342.00"
MAT-1112,CL-1112,Banking Partners - Master Services Agreement Negotiation,IP,1692866080,Ayesha Khan,6661
MAT-1113,CL-1113,Pharmaceuticals Holdings Corp - Regulatory Inquiry,Employment,12-Mar-2023,Michael Brown,"47,850"
MAT-1114,CL-1114,Pharmaceuticals Partners - Regulatory Inquiry,Environmental,20/05/2021,Ayesha Khan,7423
MAT-1115,CL-1115,Pharmaceuticals Holdings Corp - Contract Breach,Employment,27-Apr-2025,Michael Brown,8412
MAT-1116,CL-1116,Pharmaceuticals Holdings Corp v. ACME Corp - Employment Dispute,Contracts,01-Jun-2024,Mark Thompson,24K
MAT-1117,CL-1117,Banking Partners - Regulatory Inquiry,Corporate,08/05/2024,Michael Brown,20K
MAT-1118,CL-1118,Technology Group LLC v. ACME Corp - Employment Dispute,Environmental,26/12/21,Sarah Chen,29512
MAT-1119,CL-1119,Transportation Solutions Inc - Regulatory Inquiry,Tax,30/04/21,Daniel Park,20344
MAT-1120,CL-1120,Pharmaceuticals International - Regulatory Inquiry,M&A,09-Jan-2022,Robert Taylor,30K
MAT-1121,CL-1121,Finance Holdings Corp - Contract Breach,Corporate,09/10/21,Mark Thompson,"$47,440.00"
MAT-1122,CL-1122,Finance Group LLC v. ACME Corp - Employment Dispute,Regulatory,17-Jan-2021,Robert Taylor,"33,021"
MAT-1123,CL-1123,Automotive Partners v. ACME Corp - Employment Dispute,Contracts,22-Jun-2021,Ayesha Khan,39475
MAT-1124,CL-1124,Retail Holdings Corp - Contract Breach,Environmental,23/01/2021,Hannah Lee,48K
MAT-1125,CL-1125,Technology Partners - Master Services Agreement Negotiation,Employment,26/12/2021,Lina Gomez,20822
MAT-1126,CL-1126,Real Estate Holdings Corp - Contract Breach,Tax,2023-09-24,Robert Taylor,"""7,187.00"""
MAT-1127,CL-1127,Construction Systems - Regulatory Inquiry,Immigration,29/03/2023,Mark Thompson,25934
MAT-1128,CL-1128,Telecommunications Group LLC v. ACME Corp - Employment Dispute,Employment,25/02/2025,Sarah Chen,6K
MAT-1129,CL-1129,Manufacturing International v. ACME Corp - Employment Dispute,Regulatory,1631867680,James Wilson,30K
MAT-1130,CL-1130,Aerospace International - Master Services Agreement Negotiation,Immigration,29-May-2023,Robert Taylor,"""11,660.00"""
MAT-1131,CL-1131,Automotive Holdings Corp - Regulatory Inquiry,IP,1658565280,Ayesha Khan,21419
MAT-1132,CL-1132,Pharmaceuticals Systems - Regulatory Inquiry,Immigration,09/09/23,Sarah Chen,28K
MAT-1133,CL-1133,Telecommunications International - Regulatory Inquiry,IP,2025-10-14,James Wilson,30K
MAT-1134,CL-1134,Telecommunications Holdings Corp - Master Services Agreement Negotiation,Employment,1646555680,Mark Thompson,"$10,450.00"
MAT-1135,CL-1135,Retail Systems - Regulatory Inquiry,Employment,05-May-2023,Robert Taylor,41K
MAT-1136,CL-1136,Automotive Holdings Corp - Master Services Agreement Negotiation,Immigration,2025-02-19,Mark Thompson,20K
MAT-1137,CL-1137,Aerospace Group LLC - Regulatory Inquiry,Immigration,1739867680,Emily Davis,39K
MAT-1138,CL-1138,Transportation Group LLC - Contract Breach,IP,19/02/21,Emily Davis,36330
MAT-1139,CL-1139,Banking Solutions Inc v. ACME Corp - Employment Dispute,Employment,1717922080,Daniel Park,"€39,683"
MAT-1140,CL-1140,Transportation Holdings Corp v. ACME Corp - Employment Dispute,Regulatory,2021-02-12,Sarah Chen,25775
MAT-1141,CL-1141,Finance Solutions Inc - Regulatory Inquiry,Contracts,1627979680,Mark Thompson,14155
MAT-1142,CL-1142,Real Estate Holdings Corp v. ACME Corp - Employment Dispute,Immigration,1619166880,Sarah Chen,12K
MAT-1143,CL-1143,Healthcare Partners - Regulatory Inquiry,Regulatory,2025-01-17,Daniel Park,32K
MAT-1144,CL-1144,Real Estate Systems - Contract Breach,Corporate,31-Jul-2024,Robert Taylor,38K
MAT-1145,CL-1145,Aerospace Solutions Inc - Contract Breach,Environmental,2023-08-07,Mark Thompson,33478
MAT-1146,CL-1146,Transportation International - Master Services Agreement Negotiation,Regulatory,08/03/22,Robert Taylor,42458
MAT-1147,CL-1147,Retail International - Contract Breach,Immigration,14/12/20,Hannah Lee,34K
MAT-1148,CL-1148,Pharmaceuticals Systems v. ACME Corp - Employment Dispute,Regulatory,25/08/2022,Michael Brown,44650
MAT-1149,CL-1149,Banking Group LLC - Contract Breach,Contracts,18-Nov-2024,James Wilson,21K
MAT-1150,CL-1150,Retail Systems - Contract Breach,M&A,04/06/2021,Ayesha Khan,40528
MAT-1151,CL-1151,Banking Solutions Inc - Regulatory Inquiry,Employment,1626078880,Lina Gomez,19469
MAT-1152,CL-1152,Technology Group LLC v. ACME Corp - Employment Dispute,Environmental,1760258080,Emily Davis,"$41,826.00"
MAT-1153,CL-1153,Energy Partners - Master Services Agreement Negotiation,Litigation,03/08/22,James Wilson,46K
MAT-1154,CL-1154,Telecommunications International - Regulatory Inquiry,Tax,2025-08-17,Robert Taylor,28352
MAT-1155,CL-1155,Aerospace International - Regulatory Inquiry,IP,2023-09-24,Lina Gomez,35668
MAT-1156,CL-1156,Insurance Partners - Master Services Agreement Negotiation,Corporate,08/11/21,Sarah Chen,19K
MAT-1157,CL-1157,Manufacturing International - Master Services Agreement Negotiation,M&A,01-Dec-2022,Mark Thompson,16K
MAT-1158,CL-1158,Technology International - Contract Breach,Environmental,1664181280,Robert Taylor,35697
MAT-1159,CL-1159,Construction Partners v. ACME Corp - Employment Dispute,Environmental,06/03/2023,James Wilson,27692
MAT-1160,CL-1160,Finance Systems - Master Services Agreement Negotiation,M&A,1716971680,Michael Brown,9816
MAT-1161,CL-1161,Energy Solutions Inc - Regulatory Inquiry,Corporate,07/11/25,Michael Brown,"""39,583.00"""
MAT-1162,CL-1162,Technology Holdings Corp - Master Services Agreement Negotiation,Tax,02/05/2025,Sarah Chen,15K
MAT-1163,CL-1163,Telecommunications Partners - Master Services Agreement Negotiation,Contracts,2024-10-02,Ayesha Khan,"""5,944.00"""
MAT-1164,CL-1164,Technology Solutions Inc - Regulatory Inquiry,Regulatory,02-Oct-2021,Daniel Park,42K
MAT-1165,CL-1165,Aerospace Group LLC - Regulatory Inquiry,Contracts,2023-04-21,Emily Davis,16K
MAT-1166,CL-1166,Healthcare Holdings Corp - Master Services Agreement Negotiation,Immigration,12/10/24,Emily Davis,"€16,256"
MAT-1167,CL-1167,Pharmaceuticals International v. ACME Corp - Employment Dispute,Litigation,2022-11-12,Lina Gomez,14787
MAT-1168,CL-1168,Healthcare Solutions Inc - Contract Breach,IP,17-Jun-2022,Mark Thompson,6K
MAT-1169,CL-1169,Telecommunications Solutions Inc - Master Services Agreement Negotiation,Tax,1617784480,Lina Gomez,33K
MAT-1170,CL-1170,Energy Group LLC - Contract Breach,Corporate,23/05/22,Ayesha Khan,26K
MAT-1171,CL-1171,Retail Systems - Master Services Agreement Negotiation,Litigation,2024-01-22,James Wilson,49854
MAT-1172,CL-1172,Construction Systems v. ACME Corp - Employment Dispute,IP,10/04/25,Emily Davis,"$40,243"
MAT-1173,CL-1173,Retail Holdings Corp - Master Services Agreement Negotiation,Contracts,1642494880,Ayesha Khan,"$5,843.00"
MAT-1174,CL-1174,Banking Solutions Inc v. ACME Corp - Employment Dispute,Contracts,27/07/2024,Hannah Lee,7509
MAT-1175,CL-1175,Aerospace Partners - Regulatory Inquiry,Regulatory,02/02/22,Lina Gomez,46926
MAT-1176,CL-1176,Aerospace Solutions Inc - Contract Breach,Regulatory,11/04/2025,Robert Taylor,42K
MAT-1177,CL-1177,Aerospace Systems - Contract Breach,Employment,1639125280,Sarah Chen,19K
MAT-1178,CL-1178,Construction Systems v. ACME Corp - Employment Dispute,Corporate,11/04/23,Emily Davis,"$5,606.00"
MAT-1179,CL-1179,Automotive Systems - Master Services Agreement Negotiation,Litigation,2024-07-02,Lina Gomez,6236
MAT-1180,CL-1180,Insurance Partners - Master Services Agreement Negotiation,M&A,26-Apr-2023,Robert Taylor,7K
MAT-1181,CL-1181,Insurance Systems - Master Services Agreement Negotiation,Litigation,1759739680,Emily Davis,26574
MAT-1182,CL-1182,Aerospace Partners - Regulatory Inquiry,Contracts,09/08/2023,Robert Taylor,"$38,798"
MAT-1183,CL-1183,Healthcare Group LLC - Master Services Agreement Negotiation,Employment,28/11/2023,Mark Thompson,25K
MAT-1184,CL-1184,Finance Group LLC - Regulatory Inquiry,Environmental,13/05/25,Sarah Chen,"€13,006"
MAT-1185,CL-1185,Construction Partners - Regulatory Inquiry,Litigation,02/01/2022,Hannah Lee,"$15,659.00"
MAT-1186,CL-1186,Insurance Partners - Contract Breach,Immigration,01-Nov-2024,Emily Davis,"$47,462"
MAT-1187,CL-1187,Banking Systems v. ACME Corp - Employment Dispute,M&A,30/12/21,Daniel Park,37K
MAT-1188,CL-1188,Energy Group LLC - Master Services Agreement Negotiation,Regulatory,2023-11-17,Robert Taylor,11980
MAT-1189,CL-1189,Construction International - Contract Breach,Litigation,1674981280,James Wilson,16K
MAT-1190,CL-1190,Pharmaceuticals Holdings Corp - Contract Breach,Immigration,2024-12-04,Emily Davis,7646
MAT-1191,CL-1191,Automotive Systems - Regulatory Inquiry,Immigration,24-Oct-2025,Robert Taylor,6K
MAT-1192,CL-1192,Construction Holdings Corp - Master Services Agreement Negotiation,IP,2023-04-12,Robert Taylor,40623
MAT-1193,CL-1193,Automotive Partners v. ACME Corp - Employment Dispute,Contracts,07-Sep-2024,Robert Taylor,26527
MAT-1194,CL-1194,Pharmaceuticals Holdings Corp v. ACME Corp - Employment Dispute,IP,1634286880,James Wilson,"""41,931.00"""
MAT-1195,CL-1195,Banking Holdings Corp - Master Services Agreement Negotiation,Tax,1657182880,Robert Taylor,12K
MAT-1196,CL-1196,Energy Group LLC v. ACME Corp - Employment Dispute,Regulatory,1639211680,Daniel Park,"$26,715"
MAT-1197,CL-1197,Retail Solutions Inc - Master Services Agreement Negotiation,M&A,2021-08-14,James Wilson,10K
MAT-1198,CL-1198,Aerospace International - Contract Breach,Litigation,20-Sep-2022,Emily Davis,7554
MAT-1199,CL-1199,Transportation Group LLC - Regulatory Inquiry,Contracts,25/07/2021,Mark Thompson,"18,200"
MAT-1200,CL-1200,Pharmaceuticals Group LLC - Regulatory Inquiry,IP,1673685280,Daniel Park,22K
MAT-1201,CL-1201,Energy Solutions Inc - Regulatory Inquiry,Employment,25-Feb-2022,Hannah Lee,5460
MAT-1202,CL-1202,Banking Partners - Contract Breach,Employment,27/10/21,Ayesha Khan,42834
MAT-1203,CL-1203,Real Estate Holdings Corp - Regulatory Inquiry,Litigation,1756024480,Sarah Chen,18K
MAT-1204,CL-1204,Telecommunications Solutions Inc - Regulatory Inquiry,Immigration,20/12/2020,James Wilson,38K
MAT-1205,CL-1205,Aerospace Systems - Master Services Agreement Negotiation,Corporate,06/04/22,Emily Davis,"40,789"
MAT-1206,CL-1206,Insurance Systems - Master Services Agreement Negotiation,Corporate,1755592480,Ayesha Khan,"$47,273"
MAT-1207,CL-1207,Insurance International v. ACME Corp - Employment Dispute,Environmental,1655714080,Lina Gomez,23K
MAT-1208,CL-1208,Insurance Holdings Corp - Master Services Agreement Negotiation,M&A,1715589280,Lina Gomez,7832
MAT-1209,CL-1209,Construction Systems v. ACME Corp - Employment Dispute,Corporate,04-Oct-2023,Hannah Lee,23665
MAT-1210,CL-1210,Technology Solutions Inc - Contract Breach,Environmental,20/01/22,Mark Thompson,7K
MAT-1211,CL-1211,Automotive Partners v. ACME Corp - Employment Dispute,Immigration,2022-06-29,Ayesha Khan,46K
MAT-1212,CL-1212,Finance Solutions Inc v. ACME Corp - Employment Dispute,Environmental,17/11/23,Sarah Chen,"€34,520"
MAT-1213,CL-1213,Finance Systems - Master Services Agreement Negotiation,Litigation,09/03/2022,Sarah Chen,29799
MAT-1214,CL-1214,Technology Holdings Corp - Regulatory Inquiry,M&A,2023-03-06,Daniel Park,"€8,721"
MAT-1215,CL-1215,Retail Partners - Regulatory Inquiry,Tax,2025-05-23,Sarah Chen,25K
MAT-1216,CL-1216,Automotive Partners - Regulatory Inquiry,Immigration,29/09/23,Ayesha Khan,14K
MAT-1217,CL-1217,Technology Partners - Master Services Agreement Negotiation,Immigration,1714638880,James Wilson,20K
MAT-1218,CL-1218,Energy Group LLC v. ACME Corp - Employment Dispute,Environmental,10/03/25,James Wilson,49703
MAT-1219,CL-1219,Manufacturing International - Regulatory Inquiry,Contracts,25/02/24,Sarah Chen,15K
MAT-1220,CL-1220,Telecommunications Systems - Contract Breach,Litigation,27/04/2024,Mark Thompson,15215
MAT-1221,CL-1221,Aerospace Group LLC - Regulatory Inquiry,Regulatory,1741941280,Hannah Lee,"$22,553.00"
MAT-1222,CL-1222,Transportation International - Master Services Agreement Negotiation,Corporate,26-Jan-2024,Robert Taylor,"""43,349.00"""
MAT-1223,CL-1223,Banking Systems - Regulatory Inquiry,Litigation,1757234080,Michael Brown,"$7,408.00"
MAT-1224,CL-1224,Manufacturing Group LLC - Contract Breach,M&A,29-Oct-2024,Mark Thompson,"25,261"
MAT-1225,CL-1225,Manufacturing International - Regulatory Inquiry,Tax,18/04/2025,Sarah Chen,12K
MAT-1226,CL-1226,Technology Group LLC - Regulatory Inquiry,Environmental,1652258080,Mark Thompson,36300
MAT-1227,CL-1227,Telecommunications Partners - Regulatory Inquiry,Tax,04/05/2025,Sarah Chen,16066
MAT-1228,CL-1228,Healthcare Holdings Corp v. ACME Corp - Employment Dispute,IP,03/10/2023,James Wilson,"€23,565"
MAT-1229,CL-1229,Energy Group LLC v. ACME Corp - Employment Dispute,Regulatory,24-Jun-2024,Daniel Park,"29,229"
MAT-1230,CL-1230,Telecommunications Partners - Regulatory Inquiry,IP,2023-08-19,Hannah Lee,26812
MAT-1231,CL-1231,Construction Solutions Inc v. ACME Corp - Employment Dispute,Tax,10/07/22,Emily Davis,19181
MAT-1232,CL-1232,Real Estate Partners - Master Services Agreement Negotiation,Regulatory,2021-11-11,Robert Taylor,22K
MAT-1233,CL-1233,Construction Partners - Contract Breach,Contracts,1693816480,Ayesha Khan,48298
MAT-1234,CL-1234,Aerospace Systems - Master Services Agreement Negotiation,Contracts,29-Jan-2025,Hannah Lee,41K
MAT-1235,CL-1235,Aerospace Holdings Corp - Contract Breach,IP,1746174880,Sarah Chen,"€44,681"
MAT-1236,CL-1236,Energy Solutions Inc - Master Services Agreement Negotiation,IP,2024-01-04,Mark Thompson,16K
MAT-1237,CL-1237,Energy Systems - Master Services Agreement Negotiation,Regulatory,08/03/2024,Lina Gomez,34956
MAT-1238,CL-1238,Banking Partners - Master Services Agreement Negotiation,Employment,23/11/24,Sarah Chen,41125
MAT-1239,CL-1239,Construction Holdings Corp - Regulatory Inquiry,Environmental,07/10/2021,Mark Thompson,42879
MAT-1240,CL-1240,Technology Systems - Master Services Agreement Negotiation,IP,29/08/24,James Wilson,"$36,482"
